algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
spr,kripke,1,2,0,512,64,25.63443,16
pak,kripke,1,2,0,512,64,24.78036,16
rand,kripke,1,2,0,512,64,25.97384,16
spr,kripke,2,1,0,512,64,25.09542,16
pak,kripke,2,1,0,512,64,24.86443,16
rand,kripke,2,1,0,512,64,25.55687,16
spr,kripke,3,0,0,512,64,25.06938,16
pak,kripke,3,0,0,512,64,24.66530,16
rand,kripke,3,0,0,512,64,25.51332,16
spr,kripke,4,0,1,512,64,25.18341,16
pak,kripke,4,0,1,512,64,24.50930,16
rand,kripke,4,0,1,512,64,25.09419,16
spr,kripke,5,0,2,512,64,25.15639,16
pak,kripke,5,0,2,512,64,24.67033,16
rand,kripke,5,0,2,512,64,24.76332,16
spr,kripke,1,2,0,512,80,22.42323,16
pak,kripke,1,2,0,512,80,22.15717,16
rand,kripke,1,2,0,512,80,22.41762,16
spr,kripke,2,1,0,512,80,22.17824,16
pak,kripke,2,1,0,512,80,22.18320,16
rand,kripke,2,1,0,512,80,22.40802,16
spr,kripke,3,0,0,512,80,22.50215,16
pak,kripke,3,0,0,512,80,21.97618,16
rand,kripke,3,0,0,512,80,22.13315,16
spr,kripke,4,0,1,512,80,22.44626,16
pak,kripke,4,0,1,512,80,22.64716,16
rand,kripke,4,0,1,512,80,22.08090,16
spr,kripke,5,0,2,512,80,22.35620,16
pak,kripke,5,0,2,512,80,22.51423,16
rand,kripke,5,0,2,512,80,22.46098,16
pak,kripke,1,2,0,512,115,22.19714,16
rand,kripke,1,2,0,512,115,21.85705,16
spr,kripke,2,1,0,512,115,22.21624,16
pak,kripke,2,1,0,512,115,21.79421,16
rand,kripke,2,1,0,512,115,21.90953,16
spr,kripke,3,0,0,512,115,22.28519,16
pak,kripke,3,0,0,512,115,21.75429,16
rand,kripke,3,0,0,512,115,21.81699,16
spr,kripke,4,0,1,512,115,21.74921,16
pak,kripke,4,0,1,512,115,21.84123,16
rand,kripke,4,0,1,512,115,21.77087,16
spr,kripke,5,0,2,512,115,21.99923,16
pak,kripke,5,0,2,512,115,21.91012,16
rand,kripke,5,0,2,512,115,21.94882,16
spr,kripke,1,2,0,512,64,28.76854,20
pak,kripke,1,2,0,512,64,27.83854,20
rand,kripke,1,2,0,512,64,28.54392,20
spr,kripke,2,1,0,512,64,29.16160,20
pak,kripke,2,1,0,512,64,28.16153,20
rand,kripke,2,1,0,512,64,28.91447,20
spr,kripke,3,0,0,512,64,28.96253,20
pak,kripke,3,0,0,512,64,27.76543,20
rand,kripke,3,0,0,512,64,29.18151,20
spr,kripke,4,0,1,512,64,28.84757,20
pak,kripke,4,0,1,512,64,27.81514,20
rand,kripke,4,0,1,512,64,28.88754,20
spr,kripke,5,0,2,512,64,28.60693,20
pak,kripke,5,0,2,512,64,28.81961,20
rand,kripke,5,0,2,512,64,28.69690,20
spr,kripke,1,2,0,512,80,24.74035,20
pak,kripke,1,2,0,512,80,24.43530,20
rand,kripke,1,2,0,512,80,24.40125,20
spr,kripke,2,1,0,512,80,24.55019,20
pak,kripke,2,1,0,512,80,23.98837,20
rand,kripke,2,1,0,512,80,24.40504,20
spr,kripke,3,0,0,512,80,24.41935,20
pak,kripke,3,0,0,512,80,24.44124,20
rand,kripke,3,0,0,512,80,24.23922,20
spr,kripke,4,0,1,512,80,24.38836,20
pak,kripke,4,0,1,512,80,24.14633,20
rand,kripke,4,0,1,512,80,24.10177,20
spr,kripke,5,0,2,512,80,24.28634,20
pak,kripke,5,0,2,512,80,24.42634,20
rand,kripke,5,0,2,512,80,24.32642,20
spr,kripke,1,2,0,512,115,23.45128,20
pak,kripke,1,2,0,512,115,23.52417,20
rand,kripke,1,2,0,512,115,23.37820,20
spr,kripke,2,1,0,512,115,23.61427,20
pak,kripke,2,1,0,512,115,23.53024,20
rand,kripke,2,1,0,512,115,23.57727,20
spr,kripke,3,0,0,512,115,23.60728,20
pak,kripke,3,0,0,512,115,23.38328,20
rand,kripke,3,0,0,512,115,23.23823,20
spr,kripke,4,0,1,512,115,23.32122,20
pak,kripke,4,0,1,512,115,23.52434,20
rand,kripke,4,0,1,512,115,23.42490,20
spr,kripke,5,0,2,512,115,23.36532,20
pak,kripke,5,0,2,512,115,23.53927,20
rand,kripke,5,0,2,512,115,23.38960,20
spr,kripke,1,2,0,512,64,32.96883,24
pak,kripke,1,2,0,512,64,31.96664,24
rand,kripke,1,2,0,512,64,33.72563,24
spr,kripke,2,1,0,512,64,32.77080,24
pak,kripke,2,1,0,512,64,32.10425,24
rand,kripke,2,1,0,512,64,33.10359,24
spr,kripke,3,0,0,512,64,32.95495,24
pak,kripke,3,0,0,512,64,31.97684,24
rand,kripke,3,0,0,512,64,33.07455,24
spr,kripke,4,0,1,512,64,32.78377,24
pak,kripke,4,0,1,512,64,32.19669,24
rand,kripke,4,0,1,512,64,33.30378,24
spr,kripke,5,0,2,512,64,32.84288,24
pak,kripke,5,0,2,512,64,31.91977,24
rand,kripke,5,0,2,512,64,32.37991,24
spr,kripke,1,2,0,512,80,27.03543,24
pak,kripke,1,2,0,512,80,26.68248,24
rand,kripke,1,2,0,512,80,27.38438,24
spr,kripke,2,1,0,512,80,27.12843,24
pak,kripke,2,1,0,512,80,26.71748,24
rand,kripke,2,1,0,512,80,27.90329,24
spr,kripke,3,0,0,512,80,27.37340,24
pak,kripke,3,0,0,512,80,26.70039,24
rand,kripke,3,0,0,512,80,27.72637,24
spr,kripke,4,0,1,512,80,27.10845,24
pak,kripke,4,0,1,512,80,26.79153,24
rand,kripke,4,0,1,512,80,27.12950,24
spr,kripke,5,0,2,512,80,27.23952,24
pak,kripke,5,0,2,512,80,26.55147,24
rand,kripke,5,0,2,512,80,27.44898,24
spr,kripke,1,2,0,512,115,25.20936,24
pak,kripke,1,2,0,512,115,25.33038,24
rand,kripke,1,2,0,512,115,25.04519,24
spr,kripke,2,1,0,512,115,24.99132,24
pak,kripke,2,1,0,512,115,25.22940,24
rand,kripke,2,1,0,512,115,25.10494,24
spr,kripke,3,0,0,512,115,24.98332,24
pak,kripke,3,0,0,512,115,25.02735,24
rand,kripke,3,0,0,512,115,25.08285,24
spr,kripke,4,0,1,512,115,25.02327,24
pak,kripke,4,0,1,512,115,25.30433,24
rand,kripke,4,0,1,512,115,24.96013,24
spr,kripke,5,0,2,512,115,25.14637,24
pak,kripke,5,0,2,512,115,25.06333,24
rand,kripke,5,0,2,512,115,25.17106,24
spr,CoMD,1,2,0,512,64,39.4856,16
pak,CoMD,1,2,0,512,64,35.8287,16
rand,CoMD,1,2,0,512,64,41.5681,16
spr,CoMD,2,1,0,512,64,38.4217,16
pak,CoMD,2,1,0,512,64,37.8492,16
rand,CoMD,2,1,0,512,64,39.5879,16
spr,CoMD,3,0,0,512,64,39.6499,16
pak,CoMD,3,0,0,512,64,36.9350,16
rand,CoMD,3,0,0,512,64,39.3345,16
spr,CoMD,4,0,1,512,64,37.0282,16
pak,CoMD,4,0,1,512,64,36.8455,16
rand,CoMD,4,0,1,512,64,39.9155,16
spr,CoMD,5,0,2,512,64,38.6121,16
pak,CoMD,5,0,2,512,64,37.0098,16
rand,CoMD,5,0,2,512,64,38.2594,16
spr,CoMD,1,2,0,512,80,35.7045,16
pak,CoMD,1,2,0,512,80,34.0391,16
rand,CoMD,1,2,0,512,80,35.4028,16
spr,CoMD,2,1,0,512,80,34.8359,16
pak,CoMD,2,1,0,512,80,34.6894,16
rand,CoMD,2,1,0,512,80,37.3806,16
spr,CoMD,3,0,0,512,80,34.7461,16
pak,CoMD,3,0,0,512,80,33.8352,16
rand,CoMD,3,0,0,512,80,34.9554,16
spr,CoMD,4,0,1,512,80,33.9249,16
pak,CoMD,4,0,1,512,80,33.9109,16
rand,CoMD,4,0,1,512,80,33.9146,16
spr,CoMD,5,0,2,512,80,33.5766,16
pak,CoMD,5,0,2,512,80,35.3372,16
rand,CoMD,5,0,2,512,80,35.8816,16
pak,CoMD,1,2,0,512,115,34.8292,16
rand,CoMD,1,2,0,512,115,36.8576,16
spr,CoMD,2,1,0,512,115,36.0956,16
pak,CoMD,2,1,0,512,115,35.4795,16
rand,CoMD,2,1,0,512,115,36.0533,16
spr,CoMD,3,0,0,512,115,34.0974,16
pak,CoMD,3,0,0,512,115,35.8808,16
rand,CoMD,3,0,0,512,115,34.5862,16
spr,CoMD,4,0,1,512,115,35.5614,16
pak,CoMD,4,0,1,512,115,35.0184,16
rand,CoMD,4,0,1,512,115,35.8466,16
spr,CoMD,5,0,2,512,115,34.8220,16
pak,CoMD,5,0,2,512,115,33.4010,16
rand,CoMD,5,0,2,512,115,35.6440,16
spr,CoMD,1,2,0,512,64,46.1885,20
pak,CoMD,1,2,0,512,64,43.5869,20
rand,CoMD,1,2,0,512,64,46.8202,20
