Ranks,Nesting,Dset,Gset,OMP,PKG_LIMIT,ExecTime
32,DGZ,8,1,4,50,7.6394
32,DGZ,8,1,4,55,6.0149
32,DGZ,8,1,4,60,5.4116
32,DGZ,8,1,4,65,4.8056
32,DGZ,8,1,4,70,4.6053
32,DGZ,8,1,4,75,4.6055
32,DGZ,8,1,4,80,4.6058
32,DGZ,8,1,4,85,4.6054
32,DGZ,8,1,4,90,4.6054
32,DGZ,8,1,4,95,4.6055
32,DGZ,8,1,4,100,4.6054
32,DGZ,8,2,4,50,6.2342
32,DGZ,8,2,4,55,5.6123
32,DGZ,8,2,4,60,4.8118
32,DGZ,8,2,4,65,4.4055
32,DGZ,8,2,4,70,4.0047
32,DGZ,8,2,4,75,4.2057
32,DGZ,8,2,4,80,4.0047
32,DGZ,8,2,4,85,4.0047
32,DGZ,8,2,4,90,4.0047
32,DGZ,8,2,4,95,4.0047
32,DGZ,8,2,4,100,4.2049
32,DGZ,8,4,4,50,6.0282
32,DGZ,8,4,4,55,5.2243
32,DGZ,8,4,4,60,4.8159
32,DGZ,8,4,4,65,4.0047
32,DGZ,8,4,4,70,3.6043
32,DGZ,8,4,4,75,3.6042
32,DGZ,8,4,4,80,3.6042
32,DGZ,8,4,4,85,4.0046
32,DGZ,8,4,4,90,3.6042
32,DGZ,8,4,4,95,3.6042
32,DGZ,8,4,4,100,3.6043
32,DGZ,8,8,4,50,6.227
32,DGZ,8,8,4,55,5.4177
32,DGZ,8,8,4,60,5.0076
32,DGZ,8,8,4,65,4.2049
32,DGZ,8,8,4,70,3.8043
32,DGZ,8,8,4,75,3.8044
32,DGZ,8,8,4,80,3.8045
32,DGZ,8,8,4,85,3.8043
32,DGZ,8,8,4,90,3.8044
32,DGZ,8,8,4,95,3.8044
32,DGZ,8,8,4,100,3.8044
32,DGZ,8,16,4,50,6.8209
32,DGZ,8,16,4,55,6.2088
32,DGZ,8,16,4,60,5.4067
32,DGZ,8,16,4,65,4.6055
32,DGZ,8,16,4,70,4.405
32,DGZ,8,16,4,75,4.2048
32,DGZ,8,16,4,80,4.4051
32,DGZ,8,16,4,85,4.4052
32,DGZ,8,16,4,90,4.405
32,DGZ,8,16,4,95,4.2048
32,DGZ,8,16,4,100,4.4051
32,DGZ,8,32,4,50,8.819
32,DGZ,8,32,4,55,8.0186
32,DGZ,8,32,4,60,7.2084
32,DGZ,8,32,4,65,6.4072
32,DGZ,8,32,4,70,6.0067
32,DGZ,8,32,4,75,6.0069
32,DGZ,8,32,4,80,6.0071
32,DGZ,8,32,4,85,6.2069
32,DGZ,8,32,4,90,6.0067
32,DGZ,8,32,4,95,6.207
32,DGZ,8,32,4,100,6.0074
32,DGZ,16,1,4,50,9.815
32,DGZ,16,1,4,55,8.2173
32,DGZ,16,1,4,60,7.6096
32,DGZ,16,1,4,65,6.808
32,DGZ,16,1,4,70,6.6076
32,DGZ,16,1,4,75,6.4074
32,DGZ,16,1,4,80,6.4074
32,DGZ,16,1,4,85,6.4075
32,DGZ,16,1,4,90,6.4074
32,DGZ,16,1,4,95,6.4074
32,DGZ,16,1,4,100,6.4075
32,DGZ,16,2,4,50,8.4359
32,DGZ,16,2,4,55,7.218
32,DGZ,16,2,4,60,6.8282
32,DGZ,16,2,4,65,5.8068
32,DGZ,16,2,4,70,5.6066
32,DGZ,16,2,4,75,5.6065
32,DGZ,16,2,4,80,5.6063
32,DGZ,16,2,4,85,5.6066
32,DGZ,16,2,4,90,5.6064
32,DGZ,16,2,4,95,5.6066
32,DGZ,16,2,4,100,5.6064
32,DGZ,16,4,4,50,8.6197
32,DGZ,16,4,4,55,7.4146
32,DGZ,16,4,4,60,6.8153
32,DGZ,16,4,4,65,6.4075
32,DGZ,16,4,4,70,5.8071
32,DGZ,16,4,4,75,5.8068
32,DGZ,16,4,4,80,5.8067
32,DGZ,16,4,4,85,5.8068
32,DGZ,16,4,4,90,5.8066
32,DGZ,16,4,4,95,5.8068
32,DGZ,16,4,4,100,5.6064
32,DGZ,16,8,4,50,9.0203
32,DGZ,16,8,4,55,7.8163
32,DGZ,16,8,4,60,7.2094
32,DGZ,16,8,4,65,6.2072
32,DGZ,16,8,4,70,6.007
32,DGZ,16,8,4,75,6.0069
32,DGZ,16,8,4,80,6.0069
32,DGZ,16,8,4,85,6.0068
32,DGZ,16,8,4,90,6.0069
32,DGZ,16,8,4,95,6.007
32,DGZ,16,8,4,100,6.0069
32,DGZ,16,16,4,50,11.2375
32,DGZ,16,16,4,55,9.8216
32,DGZ,16,16,4,60,9.0203
32,DGZ,16,16,4,65,8.0091
32,DGZ,16,16,4,70,7.8089
32,DGZ,16,16,4,75,7.8088
32,DGZ,16,16,4,80,7.8089
32,DGZ,16,16,4,85,7.8088
32,DGZ,16,16,4,90,7.8088
32,DGZ,16,16,4,95,7.8088
32,DGZ,16,16,4,100,8.0089
32,DGZ,16,32,4,50,14.4306
32,DGZ,16,32,4,55,12.8248
32,DGZ,16,32,4,60,11.6128
32,DGZ,16,32,4,65,10.8115
32,DGZ,16,32,4,70,10.6114
32,DGZ,16,32,4,75,10.6113
32,DGZ,16,32,4,80,10.4113
32,DGZ,16,32,4,85,10.6117
32,DGZ,16,32,4,90,10.411
32,DGZ,16,32,4,95,10.6114
32,DGZ,16,32,4,100,10.6115
32,DGZ,32,1,4,50,14.2342
32,DGZ,32,1,4,55,12.2352
32,DGZ,32,1,4,60,11.2237
32,DGZ,32,1,4,65,10.212
32,DGZ,32,1,4,70,9.8115
32,DGZ,32,1,4,75,9.6122
32,DGZ,32,1,4,80,9.6109
32,DGZ,32,1,4,85,9.6118
32,DGZ,32,1,4,90,9.8113
32,DGZ,32,1,4,95,9.6111
32,DGZ,32,1,4,100,9.611
32,DGZ,32,2,4,50,13.8439
32,DGZ,32,2,4,55,12.0319
32,DGZ,32,2,4,60,11.0147
32,DGZ,32,2,4,65,10.212
32,DGZ,32,2,4,70,10.0113
32,DGZ,32,2,4,75,9.6111
32,DGZ,32,2,4,80,9.6111
32,DGZ,32,2,4,85,9.6112
32,DGZ,32,2,4,90,9.8111
32,DGZ,32,2,4,95,9.8113
32,DGZ,32,2,4,100,9.8114
32,DGZ,32,4,4,50,13.0481
32,DGZ,32,4,4,55,11.4194
32,DGZ,32,4,4,60,10.8185
32,DGZ,32,4,4,65,9.6118
32,DGZ,32,4,4,70,9.6112
32,DGZ,32,4,4,75,9.6109
32,DGZ,32,4,4,80,9.6109
32,DGZ,32,4,4,85,9.6113
32,DGZ,32,4,4,90,9.6109
32,DGZ,32,4,4,95,9.4109
32,DGZ,32,4,4,100,9.6109
32,DGZ,32,8,4,50,15.4349
32,DGZ,32,8,4,55,14.0291
32,DGZ,32,8,4,60,12.6196
32,DGZ,32,8,4,65,11.6129
32,DGZ,32,8,4,70,11.2126
32,DGZ,32,8,4,75,11.2127
32,DGZ,32,8,4,80,11.6132
32,DGZ,32,8,4,85,11.413
32,DGZ,32,8,4,90,11.2126
32,DGZ,32,8,4,95,11.2126
32,DGZ,32,8,4,100,11.2128
32,DGZ,32,16,4,50,19.0418
32,DGZ,32,16,4,60,15.2334
32,DGZ,32,16,4,65,14.0153
32,DGZ,32,16,4,70,13.8152
32,DGZ,32,16,4,75,13.8151
32,DGZ,32,16,4,80,13.6149
32,DGZ,32,16,4,85,13.6151
32,DGZ,32,16,4,90,13.4143
32,DGZ,32,16,4,95,14.0154
32,DGZ,32,16,4,100,13.8161
32,DGZ,32,32,4,50,24.4364
32,DGZ,32,32,4,55,22.6258
32,DGZ,32,32,4,60,20.4219
32,DGZ,32,32,4,65,19.0197
32,DGZ,32,32,4,70,18.6193
32,DGZ,32,32,4,75,18.4196
32,DGZ,32,32,4,80,18.4196
32,DGZ,32,32,4,85,18.4189
32,DGZ,32,32,4,90,18.6189
32,DGZ,32,32,4,95,18.6192
32,DGZ,32,32,4,100,18.8203
32,DGZ,8,1,8,50,9.0544
32,DGZ,8,1,8,55,8.6432
32,DGZ,8,1,8,60,7.6174
32,DGZ,8,1,8,65,5.8152
32,DGZ,8,1,8,70,5.0071
32,DGZ,8,1,8,75,4.6062
32,DGZ,8,1,8,80,4.4057
32,DGZ,8,1,8,85,4.2055
32,DGZ,8,1,8,90,4.206
32,DGZ,8,1,8,95,4.2059
32,DGZ,8,1,8,100,4.2052
32,DGZ,8,2,8,50,7.4429
32,DGZ,8,2,8,55,6.4299
32,DGZ,8,2,8,60,6.0219
32,DGZ,8,2,8,65,5.0219
32,DGZ,8,2,8,70,4.4065
32,DGZ,8,2,8,75,4.0055
32,DGZ,8,2,8,80,3.8051
32,DGZ,8,2,8,85,3.6047
32,DGZ,8,2,8,90,3.6047
32,DGZ,8,2,8,95,3.8048
32,DGZ,8,2,8,100,3.6046
32,DGZ,8,4,8,50,6.4461
32,DGZ,8,4,8,55,5.8368
32,DGZ,8,4,8,60,5.2386
32,DGZ,8,4,8,65,4.6458
32,DGZ,8,4,8,70,4.0063
32,DGZ,8,4,8,75,3.805
32,DGZ,8,4,8,80,3.4045
32,DGZ,8,4,8,85,3.4046
32,DGZ,8,4,8,90,3.4044
32,DGZ,8,4,8,95,3.204
32,DGZ,8,4,8,100,3.4042
32,DGZ,8,8,8,50,6.6478
32,DGZ,8,8,8,55,6.2182
32,DGZ,8,8,8,60,5.6279
32,DGZ,8,8,8,65,5.0069
32,DGZ,8,8,8,70,4.4071
32,DGZ,8,8,8,75,3.805
32,DGZ,8,8,8,80,3.6046
32,DGZ,8,8,8,85,3.6047
32,DGZ,8,8,8,90,3.6045
32,DGZ,8,8,8,95,3.6046
32,DGZ,8,8,8,100,3.6049
32,DGZ,8,16,8,50,7.2256
32,DGZ,8,16,8,55,6.8384
32,DGZ,8,16,8,60,6.0249
32,DGZ,8,16,8,65,5.8087
32,DGZ,8,16,8,70,5.0076
32,DGZ,8,16,8,75,4.4057
32,DGZ,8,16,8,80,4.0051
32,DGZ,8,16,8,85,4.0051
32,DGZ,8,16,8,90,4.0051
32,DGZ,8,16,8,95,4.005
32,DGZ,8,16,8,100,4.0051
32,DGZ,8,32,8,50,9.6292
32,DGZ,8,32,8,55,8.6422
32,DGZ,8,32,8,60,8.6229
32,DGZ,8,32,8,65,7.8311
32,DGZ,8,32,8,70,6.8087
32,DGZ,8,32,8,75,6.0075
32,DGZ,8,32,8,80,5.8071
32,DGZ,8,32,8,85,5.6068
32,DGZ,8,32,8,90,5.6069
32,DGZ,8,32,8,95,5.607
32,DGZ,8,32,8,100,5.6068
32,DGZ,16,1,8,50,12.0541
32,DGZ,16,1,8,55,11.2516
32,DGZ,16,1,8,60,9.816
32,DGZ,16,1,8,65,7.8224
32,DGZ,16,1,8,70,6.8109
32,DGZ,16,1,8,75,6.2082
32,DGZ,16,1,8,80,6.008
32,DGZ,16,1,8,85,6.0078
32,DGZ,16,1,8,90,6.2082
32,DGZ,16,1,8,95,6.0078
32,DGZ,16,1,8,100,6.0076
32,DGZ,16,2,8,50,9.4577
32,DGZ,16,2,8,55,8.8287
32,DGZ,16,2,8,60,7.8216
32,DGZ,16,2,8,65,7.0499
32,DGZ,16,2,8,70,6.2104
32,DGZ,16,2,8,75,5.6077
32,DGZ,16,2,8,80,5.4069
32,DGZ,16,2,8,85,5.4072
32,DGZ,16,2,8,90,5.2067
32,DGZ,16,2,8,95,5.2067
32,DGZ,16,2,8,100,5.2066
32,DGZ,16,4,8,50,9.456
32,DGZ,16,4,8,55,8.8404
32,DGZ,16,4,8,60,8.2418
32,DGZ,16,4,8,65,7.0397
32,DGZ,16,4,8,70,6.4095
32,DGZ,16,4,8,75,5.8077
32,DGZ,16,4,8,80,5.6072
32,DGZ,16,4,8,85,5.4069
32,DGZ,16,4,8,90,5.6071
32,DGZ,16,4,8,95,5.4069
32,DGZ,16,4,8,100,5.4069
32,DGZ,16,8,8,50,10.0166
32,DGZ,16,8,8,55,8.827
32,DGZ,16,8,8,60,8.034
32,DGZ,16,8,8,65,7.4221
32,DGZ,16,8,8,70,6.8101
32,DGZ,16,8,8,75,6.0077
32,DGZ,16,8,8,80,5.6071
32,DGZ,16,8,8,85,5.8074
32,DGZ,16,8,8,90,5.6069
32,DGZ,16,8,8,95,5.6071
32,DGZ,16,8,8,100,5.8073
32,DGZ,16,16,8,50,12.2701
32,DGZ,16,16,8,55,11.4357
32,DGZ,16,16,8,60,10.4214
32,DGZ,16,16,8,65,9.4126
32,DGZ,16,16,8,70,8.6123
32,DGZ,16,16,8,75,7.8099
32,DGZ,16,16,8,80,7.209
32,DGZ,16,16,8,85,7.6096
32,DGZ,16,16,8,90,7.4091
32,DGZ,16,16,8,95,7.4091
32,DGZ,16,16,8,100,7.4092
32,DGZ,16,32,8,50,16.4499
32,DGZ,16,32,8,55,14.8377
32,DGZ,16,32,8,60,13.6241
32,DGZ,16,32,8,65,12.6167
32,DGZ,16,32,8,70,11.4144
32,DGZ,16,32,8,75,10.6127
32,DGZ,16,32,8,80,10.2121
32,DGZ,16,32,8,85,10.012
32,DGZ,16,32,8,90,10.2121
